label,spine_port,leaf_port,connection_name
800G-backend-spine-u44/E1/1----800G-backend-leaf-u38/E1/33,800G-backend-spine-u44/E1/1,800G-backend-leaf-u38/E1/33,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/2----800G-backend-leaf-u38/E1/34,800G-backend-spine-u44/E1/2,800G-backend-leaf-u38/E1/34,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/3----800G-backend-leaf-u38/E1/35,800G-backend-spine-u44/E1/3,800G-backend-leaf-u38/E1/35,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/4----800G-backend-leaf-u38/E1/36,800G-backend-spine-u44/E1/4,800G-backend-leaf-u38/E1/36,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/5----800G-backend-leaf-u38/E1/37,800G-backend-spine-u44/E1/5,800G-backend-leaf-u38/E1/37,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/6----800G-backend-leaf-u38/E1/38,800G-backend-spine-u44/E1/6,800G-backend-leaf-u38/E1/38,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/7----800G-backend-leaf-u38/E1/39,800G-backend-spine-u44/E1/7,800G-backend-leaf-u38/E1/39,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/8----800G-backend-leaf-u38/E1/40,800G-backend-spine-u44/E1/8,800G-backend-leaf-u38/E1/40,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/9----800G-backend-leaf-u38/E1/41,800G-backend-spine-u44/E1/9,800G-backend-leaf-u38/E1/41,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/10----800G-backend-leaf-u38/E1/42,800G-backend-spine-u44/E1/10,800G-backend-leaf-u38/E1/42,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/11----800G-backend-leaf-u38/E1/43,800G-backend-spine-u44/E1/11,800G-backend-leaf-u38/E1/43,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/12----800G-backend-leaf-u38/E1/44,800G-backend-spine-u44/E1/12,800G-backend-leaf-u38/E1/44,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/13----800G-backend-leaf-u38/E1/45,800G-backend-spine-u44/E1/13,800G-backend-leaf-u38/E1/45,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/14----800G-backend-leaf-u38/E1/46,800G-backend-spine-u44/E1/14,800G-backend-leaf-u38/E1/46,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/15----800G-backend-leaf-u38/E1/47,800G-backend-spine-u44/E1/15,800G-backend-leaf-u38/E1/47,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/16----800G-backend-leaf-u38/E1/48,800G-backend-spine-u44/E1/16,800G-backend-leaf-u38/E1/48,800G-backend-spine-u44--fabric--800G-backend-leaf-u38
800G-backend-spine-u44/E1/17----800G-backend-leaf-u35/E1/33,800G-backend-spine-u44/E1/17,800G-backend-leaf-u35/E1/33,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/18----800G-backend-leaf-u35/E1/34,800G-backend-spine-u44/E1/18,800G-backend-leaf-u35/E1/34,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/19----800G-backend-leaf-u35/E1/35,800G-backend-spine-u44/E1/19,800G-backend-leaf-u35/E1/35,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/20----800G-backend-leaf-u35/E1/36,800G-backend-spine-u44/E1/20,800G-backend-leaf-u35/E1/36,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/21----800G-backend-leaf-u35/E1/37,800G-backend-spine-u44/E1/21,800G-backend-leaf-u35/E1/37,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/22----800G-backend-leaf-u35/E1/38,800G-backend-spine-u44/E1/22,800G-backend-leaf-u35/E1/38,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/23----800G-backend-leaf-u35/E1/39,800G-backend-spine-u44/E1/23,800G-backend-leaf-u35/E1/39,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/24----800G-backend-leaf-u35/E1/40,800G-backend-spine-u44/E1/24,800G-backend-leaf-u35/E1/40,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/25----800G-backend-leaf-u35/E1/41,800G-backend-spine-u44/E1/25,800G-backend-leaf-u35/E1/41,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/26----800G-backend-leaf-u35/E1/42,800G-backend-spine-u44/E1/26,800G-backend-leaf-u35/E1/42,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/27----800G-backend-leaf-u35/E1/43,800G-backend-spine-u44/E1/27,800G-backend-leaf-u35/E1/43,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/28----800G-backend-leaf-u35/E1/44,800G-backend-spine-u44/E1/28,800G-backend-leaf-u35/E1/44,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/29----800G-backend-leaf-u35/E1/45,800G-backend-spine-u44/E1/29,800G-backend-leaf-u35/E1/45,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/30----800G-backend-leaf-u35/E1/46,800G-backend-spine-u44/E1/30,800G-backend-leaf-u35/E1/46,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/31----800G-backend-leaf-u35/E1/47,800G-backend-spine-u44/E1/31,800G-backend-leaf-u35/E1/47,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/32----800G-backend-leaf-u35/E1/48,800G-backend-spine-u44/E1/32,800G-backend-leaf-u35/E1/48,800G-backend-spine-u44--fabric--800G-backend-leaf-u35
800G-backend-spine-u44/E1/33----800G-backend-leaf-u32/E1/33,800G-backend-spine-u44/E1/33,800G-backend-leaf-u32/E1/33,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/34----800G-backend-leaf-u32/E1/34,800G-backend-spine-u44/E1/34,800G-backend-leaf-u32/E1/34,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/35----800G-backend-leaf-u32/E1/35,800G-backend-spine-u44/E1/35,800G-backend-leaf-u32/E1/35,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/36----800G-backend-leaf-u32/E1/36,800G-backend-spine-u44/E1/36,800G-backend-leaf-u32/E1/36,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/37----800G-backend-leaf-u32/E1/37,800G-backend-spine-u44/E1/37,800G-backend-leaf-u32/E1/37,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/38----800G-backend-leaf-u32/E1/38,800G-backend-spine-u44/E1/38,800G-backend-leaf-u32/E1/38,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/39----800G-backend-leaf-u32/E1/39,800G-backend-spine-u44/E1/39,800G-backend-leaf-u32/E1/39,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/40----800G-backend-leaf-u32/E1/40,800G-backend-spine-u44/E1/40,800G-backend-leaf-u32/E1/40,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/41----800G-backend-leaf-u32/E1/41,800G-backend-spine-u44/E1/41,800G-backend-leaf-u32/E1/41,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/42----800G-backend-leaf-u32/E1/42,800G-backend-spine-u44/E1/42,800G-backend-leaf-u32/E1/42,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/43----800G-backend-leaf-u32/E1/43,800G-backend-spine-u44/E1/43,800G-backend-leaf-u32/E1/43,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/44----800G-backend-leaf-u32/E1/44,800G-backend-spine-u44/E1/44,800G-backend-leaf-u32/E1/44,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/45----800G-backend-leaf-u32/E1/45,800G-backend-spine-u44/E1/45,800G-backend-leaf-u32/E1/45,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/46----800G-backend-leaf-u32/E1/46,800G-backend-spine-u44/E1/46,800G-backend-leaf-u32/E1/46,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/47----800G-backend-leaf-u32/E1/47,800G-backend-spine-u44/E1/47,800G-backend-leaf-u32/E1/47,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/48----800G-backend-leaf-u32/E1/48,800G-backend-spine-u44/E1/48,800G-backend-leaf-u32/E1/48,800G-backend-spine-u44--fabric--800G-backend-leaf-u32
800G-backend-spine-u44/E1/49----800G-backend-leaf-u29/E1/33,800G-backend-spine-u44/E1/49,800G-backend-leaf-u29/E1/33,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/50----800G-backend-leaf-u29/E1/34,800G-backend-spine-u44/E1/50,800G-backend-leaf-u29/E1/34,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/51----800G-backend-leaf-u29/E1/35,800G-backend-spine-u44/E1/51,800G-backend-leaf-u29/E1/35,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/52----800G-backend-leaf-u29/E1/36,800G-backend-spine-u44/E1/52,800G-backend-leaf-u29/E1/36,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/53----800G-backend-leaf-u29/E1/37,800G-backend-spine-u44/E1/53,800G-backend-leaf-u29/E1/37,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/54----800G-backend-leaf-u29/E1/38,800G-backend-spine-u44/E1/54,800G-backend-leaf-u29/E1/38,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/55----800G-backend-leaf-u29/E1/39,800G-backend-spine-u44/E1/55,800G-backend-leaf-u29/E1/39,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/56----800G-backend-leaf-u29/E1/40,800G-backend-spine-u44/E1/56,800G-backend-leaf-u29/E1/40,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/57----800G-backend-leaf-u29/E1/41,800G-backend-spine-u44/E1/57,800G-backend-leaf-u29/E1/41,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/58----800G-backend-leaf-u29/E1/42,800G-backend-spine-u44/E1/58,800G-backend-leaf-u29/E1/42,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/59----800G-backend-leaf-u29/E1/43,800G-backend-spine-u44/E1/59,800G-backend-leaf-u29/E1/43,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/60----800G-backend-leaf-u29/E1/44,800G-backend-spine-u44/E1/60,800G-backend-leaf-u29/E1/44,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/61----800G-backend-leaf-u29/E1/45,800G-backend-spine-u44/E1/61,800G-backend-leaf-u29/E1/45,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/62----800G-backend-leaf-u29/E1/46,800G-backend-spine-u44/E1/62,800G-backend-leaf-u29/E1/46,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/63----800G-backend-leaf-u29/E1/47,800G-backend-spine-u44/E1/63,800G-backend-leaf-u29/E1/47,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u44/E1/64----800G-backend-leaf-u29/E1/48,800G-backend-spine-u44/E1/64,800G-backend-leaf-u29/E1/48,800G-backend-spine-u44--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/1----800G-backend-leaf-u38/E1/49,800G-backend-spine-u41/E1/1,800G-backend-leaf-u38/E1/49,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/2----800G-backend-leaf-u38/E1/50,800G-backend-spine-u41/E1/2,800G-backend-leaf-u38/E1/50,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/3----800G-backend-leaf-u38/E1/51,800G-backend-spine-u41/E1/3,800G-backend-leaf-u38/E1/51,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/4----800G-backend-leaf-u38/E1/52,800G-backend-spine-u41/E1/4,800G-backend-leaf-u38/E1/52,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/5----800G-backend-leaf-u38/E1/53,800G-backend-spine-u41/E1/5,800G-backend-leaf-u38/E1/53,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/6----800G-backend-leaf-u38/E1/54,800G-backend-spine-u41/E1/6,800G-backend-leaf-u38/E1/54,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/7----800G-backend-leaf-u38/E1/55,800G-backend-spine-u41/E1/7,800G-backend-leaf-u38/E1/55,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/8----800G-backend-leaf-u38/E1/56,800G-backend-spine-u41/E1/8,800G-backend-leaf-u38/E1/56,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/9----800G-backend-leaf-u38/E1/57,800G-backend-spine-u41/E1/9,800G-backend-leaf-u38/E1/57,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/10----800G-backend-leaf-u38/E1/58,800G-backend-spine-u41/E1/10,800G-backend-leaf-u38/E1/58,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/11----800G-backend-leaf-u38/E1/59,800G-backend-spine-u41/E1/11,800G-backend-leaf-u38/E1/59,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/12----800G-backend-leaf-u38/E1/60,800G-backend-spine-u41/E1/12,800G-backend-leaf-u38/E1/60,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/13----800G-backend-leaf-u38/E1/61,800G-backend-spine-u41/E1/13,800G-backend-leaf-u38/E1/61,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/14----800G-backend-leaf-u38/E1/62,800G-backend-spine-u41/E1/14,800G-backend-leaf-u38/E1/62,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/15----800G-backend-leaf-u38/E1/63,800G-backend-spine-u41/E1/15,800G-backend-leaf-u38/E1/63,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/16----800G-backend-leaf-u38/E1/64,800G-backend-spine-u41/E1/16,800G-backend-leaf-u38/E1/64,800G-backend-spine-u41--fabric--800G-backend-leaf-u38
800G-backend-spine-u41/E1/17----800G-backend-leaf-u35/E1/49,800G-backend-spine-u41/E1/17,800G-backend-leaf-u35/E1/49,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/18----800G-backend-leaf-u35/E1/50,800G-backend-spine-u41/E1/18,800G-backend-leaf-u35/E1/50,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/19----800G-backend-leaf-u35/E1/51,800G-backend-spine-u41/E1/19,800G-backend-leaf-u35/E1/51,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/20----800G-backend-leaf-u35/E1/52,800G-backend-spine-u41/E1/20,800G-backend-leaf-u35/E1/52,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/21----800G-backend-leaf-u35/E1/53,800G-backend-spine-u41/E1/21,800G-backend-leaf-u35/E1/53,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/22----800G-backend-leaf-u35/E1/54,800G-backend-spine-u41/E1/22,800G-backend-leaf-u35/E1/54,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/23----800G-backend-leaf-u35/E1/55,800G-backend-spine-u41/E1/23,800G-backend-leaf-u35/E1/55,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/24----800G-backend-leaf-u35/E1/56,800G-backend-spine-u41/E1/24,800G-backend-leaf-u35/E1/56,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/25----800G-backend-leaf-u35/E1/57,800G-backend-spine-u41/E1/25,800G-backend-leaf-u35/E1/57,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/26----800G-backend-leaf-u35/E1/58,800G-backend-spine-u41/E1/26,800G-backend-leaf-u35/E1/58,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/27----800G-backend-leaf-u35/E1/59,800G-backend-spine-u41/E1/27,800G-backend-leaf-u35/E1/59,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/28----800G-backend-leaf-u35/E1/60,800G-backend-spine-u41/E1/28,800G-backend-leaf-u35/E1/60,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/29----800G-backend-leaf-u35/E1/61,800G-backend-spine-u41/E1/29,800G-backend-leaf-u35/E1/61,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/30----800G-backend-leaf-u35/E1/62,800G-backend-spine-u41/E1/30,800G-backend-leaf-u35/E1/62,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/31----800G-backend-leaf-u35/E1/63,800G-backend-spine-u41/E1/31,800G-backend-leaf-u35/E1/63,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/32----800G-backend-leaf-u35/E1/64,800G-backend-spine-u41/E1/32,800G-backend-leaf-u35/E1/64,800G-backend-spine-u41--fabric--800G-backend-leaf-u35
800G-backend-spine-u41/E1/33----800G-backend-leaf-u32/E1/49,800G-backend-spine-u41/E1/33,800G-backend-leaf-u32/E1/49,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/34----800G-backend-leaf-u32/E1/50,800G-backend-spine-u41/E1/34,800G-backend-leaf-u32/E1/50,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/35----800G-backend-leaf-u32/E1/51,800G-backend-spine-u41/E1/35,800G-backend-leaf-u32/E1/51,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/36----800G-backend-leaf-u32/E1/52,800G-backend-spine-u41/E1/36,800G-backend-leaf-u32/E1/52,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/37----800G-backend-leaf-u32/E1/53,800G-backend-spine-u41/E1/37,800G-backend-leaf-u32/E1/53,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/38----800G-backend-leaf-u32/E1/54,800G-backend-spine-u41/E1/38,800G-backend-leaf-u32/E1/54,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/39----800G-backend-leaf-u32/E1/55,800G-backend-spine-u41/E1/39,800G-backend-leaf-u32/E1/55,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/40----800G-backend-leaf-u32/E1/56,800G-backend-spine-u41/E1/40,800G-backend-leaf-u32/E1/56,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/41----800G-backend-leaf-u32/E1/57,800G-backend-spine-u41/E1/41,800G-backend-leaf-u32/E1/57,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/42----800G-backend-leaf-u32/E1/58,800G-backend-spine-u41/E1/42,800G-backend-leaf-u32/E1/58,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/43----800G-backend-leaf-u32/E1/59,800G-backend-spine-u41/E1/43,800G-backend-leaf-u32/E1/59,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/44----800G-backend-leaf-u32/E1/60,800G-backend-spine-u41/E1/44,800G-backend-leaf-u32/E1/60,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/45----800G-backend-leaf-u32/E1/61,800G-backend-spine-u41/E1/45,800G-backend-leaf-u32/E1/61,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/46----800G-backend-leaf-u32/E1/62,800G-backend-spine-u41/E1/46,800G-backend-leaf-u32/E1/62,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/47----800G-backend-leaf-u32/E1/63,800G-backend-spine-u41/E1/47,800G-backend-leaf-u32/E1/63,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/48----800G-backend-leaf-u32/E1/64,800G-backend-spine-u41/E1/48,800G-backend-leaf-u32/E1/64,800G-backend-spine-u41--fabric--800G-backend-leaf-u32
800G-backend-spine-u41/E1/49----800G-backend-leaf-u29/E1/49,800G-backend-spine-u41/E1/49,800G-backend-leaf-u29/E1/49,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/50----800G-backend-leaf-u29/E1/50,800G-backend-spine-u41/E1/50,800G-backend-leaf-u29/E1/50,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/51----800G-backend-leaf-u29/E1/51,800G-backend-spine-u41/E1/51,800G-backend-leaf-u29/E1/51,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/52----800G-backend-leaf-u29/E1/52,800G-backend-spine-u41/E1/52,800G-backend-leaf-u29/E1/52,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/53----800G-backend-leaf-u29/E1/53,800G-backend-spine-u41/E1/53,800G-backend-leaf-u29/E1/53,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/54----800G-backend-leaf-u29/E1/54,800G-backend-spine-u41/E1/54,800G-backend-leaf-u29/E1/54,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/55----800G-backend-leaf-u29/E1/55,800G-backend-spine-u41/E1/55,800G-backend-leaf-u29/E1/55,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/56----800G-backend-leaf-u29/E1/56,800G-backend-spine-u41/E1/56,800G-backend-leaf-u29/E1/56,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/57----800G-backend-leaf-u29/E1/57,800G-backend-spine-u41/E1/57,800G-backend-leaf-u29/E1/57,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/58----800G-backend-leaf-u29/E1/58,800G-backend-spine-u41/E1/58,800G-backend-leaf-u29/E1/58,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/59----800G-backend-leaf-u29/E1/59,800G-backend-spine-u41/E1/59,800G-backend-leaf-u29/E1/59,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/60----800G-backend-leaf-u29/E1/60,800G-backend-spine-u41/E1/60,800G-backend-leaf-u29/E1/60,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/61----800G-backend-leaf-u29/E1/61,800G-backend-spine-u41/E1/61,800G-backend-leaf-u29/E1/61,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/62----800G-backend-leaf-u29/E1/62,800G-backend-spine-u41/E1/62,800G-backend-leaf-u29/E1/62,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/63----800G-backend-leaf-u29/E1/63,800G-backend-spine-u41/E1/63,800G-backend-leaf-u29/E1/63,800G-backend-spine-u41--fabric--800G-backend-leaf-u29
800G-backend-spine-u41/E1/64----800G-backend-leaf-u29/E1/64,800G-backend-spine-u41/E1/64,800G-backend-leaf-u29/E1/64,800G-backend-spine-u41--fabric--800G-backend-leaf-u29