label,server_port,leaf_port,connection_name
gpu-server-rc1-01/GPU-NIC-1----800G-backend-leaf-u38/E1/1/1,gpu-server-rc1-01/GPU-NIC-1,800G-backend-leaf-u38/E1/1/1,gpu-server-rc1-01--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-01/GPU-NIC-2----800G-backend-leaf-u38/E1/1/2,gpu-server-rc1-01/GPU-NIC-2,800G-backend-leaf-u38/E1/1/2,gpu-server-rc1-01--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-01/GPU-NIC-3----800G-backend-leaf-u35/E1/1/1,gpu-server-rc1-01/GPU-NIC-3,800G-backend-leaf-u35/E1/1/1,gpu-server-rc1-01--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-01/GPU-NIC-4----800G-backend-leaf-u35/E1/1/2,gpu-server-rc1-01/GPU-NIC-4,800G-backend-leaf-u35/E1/1/2,gpu-server-rc1-01--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-01/GPU-NIC-5----800G-backend-leaf-u32/E1/1/1,gpu-server-rc1-01/GPU-NIC-5,800G-backend-leaf-u32/E1/1/1,gpu-server-rc1-01--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-01/GPU-NIC-6----800G-backend-leaf-u32/E1/1/2,gpu-server-rc1-01/GPU-NIC-6,800G-backend-leaf-u32/E1/1/2,gpu-server-rc1-01--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-01/GPU-NIC-7----800G-backend-leaf-u29/E1/1/1,gpu-server-rc1-01/GPU-NIC-7,800G-backend-leaf-u29/E1/1/1,gpu-server-rc1-01--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-01/GPU-NIC-8----800G-backend-leaf-u29/E1/1/2,gpu-server-rc1-01/GPU-NIC-8,800G-backend-leaf-u29/E1/1/2,gpu-server-rc1-01--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-02/GPU-NIC-1----800G-backend-leaf-u38/E1/2/1,gpu-server-rc1-02/GPU-NIC-1,800G-backend-leaf-u38/E1/2/1,gpu-server-rc1-02--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-02/GPU-NIC-2----800G-backend-leaf-u38/E1/2/2,gpu-server-rc1-02/GPU-NIC-2,800G-backend-leaf-u38/E1/2/2,gpu-server-rc1-02--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-02/GPU-NIC-3----800G-backend-leaf-u35/E1/2/1,gpu-server-rc1-02/GPU-NIC-3,800G-backend-leaf-u35/E1/2/1,gpu-server-rc1-02--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-02/GPU-NIC-4----800G-backend-leaf-u35/E1/2/2,gpu-server-rc1-02/GPU-NIC-4,800G-backend-leaf-u35/E1/2/2,gpu-server-rc1-02--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-02/GPU-NIC-5----800G-backend-leaf-u32/E1/2/1,gpu-server-rc1-02/GPU-NIC-5,800G-backend-leaf-u32/E1/2/1,gpu-server-rc1-02--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-02/GPU-NIC-6----800G-backend-leaf-u32/E1/2/2,gpu-server-rc1-02/GPU-NIC-6,800G-backend-leaf-u32/E1/2/2,gpu-server-rc1-02--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-02/GPU-NIC-7----800G-backend-leaf-u29/E1/2/1,gpu-server-rc1-02/GPU-NIC-7,800G-backend-leaf-u29/E1/2/1,gpu-server-rc1-02--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-02/GPU-NIC-8----800G-backend-leaf-u29/E1/2/2,gpu-server-rc1-02/GPU-NIC-8,800G-backend-leaf-u29/E1/2/2,gpu-server-rc1-02--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-03/GPU-NIC-1----800G-backend-leaf-u38/E1/3/1,gpu-server-rc1-03/GPU-NIC-1,800G-backend-leaf-u38/E1/3/1,gpu-server-rc1-03--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-03/GPU-NIC-2----800G-backend-leaf-u38/E1/3/2,gpu-server-rc1-03/GPU-NIC-2,800G-backend-leaf-u38/E1/3/2,gpu-server-rc1-03--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-03/GPU-NIC-3----800G-backend-leaf-u35/E1/3/1,gpu-server-rc1-03/GPU-NIC-3,800G-backend-leaf-u35/E1/3/1,gpu-server-rc1-03--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-03/GPU-NIC-4----800G-backend-leaf-u35/E1/3/2,gpu-server-rc1-03/GPU-NIC-4,800G-backend-leaf-u35/E1/3/2,gpu-server-rc1-03--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-03/GPU-NIC-5----800G-backend-leaf-u32/E1/3/1,gpu-server-rc1-03/GPU-NIC-5,800G-backend-leaf-u32/E1/3/1,gpu-server-rc1-03--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-03/GPU-NIC-6----800G-backend-leaf-u32/E1/3/2,gpu-server-rc1-03/GPU-NIC-6,800G-backend-leaf-u32/E1/3/2,gpu-server-rc1-03--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-03/GPU-NIC-7----800G-backend-leaf-u29/E1/3/1,gpu-server-rc1-03/GPU-NIC-7,800G-backend-leaf-u29/E1/3/1,gpu-server-rc1-03--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-03/GPU-NIC-8----800G-backend-leaf-u29/E1/3/2,gpu-server-rc1-03/GPU-NIC-8,800G-backend-leaf-u29/E1/3/2,gpu-server-rc1-03--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-04/GPU-NIC-1----800G-backend-leaf-u38/E1/4/1,gpu-server-rc1-04/GPU-NIC-1,800G-backend-leaf-u38/E1/4/1,gpu-server-rc1-04--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-04/GPU-NIC-2----800G-backend-leaf-u38/E1/4/2,gpu-server-rc1-04/GPU-NIC-2,800G-backend-leaf-u38/E1/4/2,gpu-server-rc1-04--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-04/GPU-NIC-3----800G-backend-leaf-u35/E1/4/1,gpu-server-rc1-04/GPU-NIC-3,800G-backend-leaf-u35/E1/4/1,gpu-server-rc1-04--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-04/GPU-NIC-4----800G-backend-leaf-u35/E1/4/2,gpu-server-rc1-04/GPU-NIC-4,800G-backend-leaf-u35/E1/4/2,gpu-server-rc1-04--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-04/GPU-NIC-5----800G-backend-leaf-u32/E1/4/1,gpu-server-rc1-04/GPU-NIC-5,800G-backend-leaf-u32/E1/4/1,gpu-server-rc1-04--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-04/GPU-NIC-6----800G-backend-leaf-u32/E1/4/2,gpu-server-rc1-04/GPU-NIC-6,800G-backend-leaf-u32/E1/4/2,gpu-server-rc1-04--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-04/GPU-NIC-7----800G-backend-leaf-u29/E1/4/1,gpu-server-rc1-04/GPU-NIC-7,800G-backend-leaf-u29/E1/4/1,gpu-server-rc1-04--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-04/GPU-NIC-8----800G-backend-leaf-u29/E1/4/2,gpu-server-rc1-04/GPU-NIC-8,800G-backend-leaf-u29/E1/4/2,gpu-server-rc1-04--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-05/GPU-NIC-1----800G-backend-leaf-u38/E1/5/1,gpu-server-rc1-05/GPU-NIC-1,800G-backend-leaf-u38/E1/5/1,gpu-server-rc1-05--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-05/GPU-NIC-2----800G-backend-leaf-u38/E1/5/2,gpu-server-rc1-05/GPU-NIC-2,800G-backend-leaf-u38/E1/5/2,gpu-server-rc1-05--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-05/GPU-NIC-3----800G-backend-leaf-u35/E1/5/1,gpu-server-rc1-05/GPU-NIC-3,800G-backend-leaf-u35/E1/5/1,gpu-server-rc1-05--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-05/GPU-NIC-4----800G-backend-leaf-u35/E1/5/2,gpu-server-rc1-05/GPU-NIC-4,800G-backend-leaf-u35/E1/5/2,gpu-server-rc1-05--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-05/GPU-NIC-5----800G-backend-leaf-u32/E1/5/1,gpu-server-rc1-05/GPU-NIC-5,800G-backend-leaf-u32/E1/5/1,gpu-server-rc1-05--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-05/GPU-NIC-6----800G-backend-leaf-u32/E1/5/2,gpu-server-rc1-05/GPU-NIC-6,800G-backend-leaf-u32/E1/5/2,gpu-server-rc1-05--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-05/GPU-NIC-7----800G-backend-leaf-u29/E1/5/1,gpu-server-rc1-05/GPU-NIC-7,800G-backend-leaf-u29/E1/5/1,gpu-server-rc1-05--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-05/GPU-NIC-8----800G-backend-leaf-u29/E1/5/2,gpu-server-rc1-05/GPU-NIC-8,800G-backend-leaf-u29/E1/5/2,gpu-server-rc1-05--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-06/GPU-NIC-1----800G-backend-leaf-u38/E1/6/1,gpu-server-rc1-06/GPU-NIC-1,800G-backend-leaf-u38/E1/6/1,gpu-server-rc1-06--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-06/GPU-NIC-2----800G-backend-leaf-u38/E1/6/2,gpu-server-rc1-06/GPU-NIC-2,800G-backend-leaf-u38/E1/6/2,gpu-server-rc1-06--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-06/GPU-NIC-3----800G-backend-leaf-u35/E1/6/1,gpu-server-rc1-06/GPU-NIC-3,800G-backend-leaf-u35/E1/6/1,gpu-server-rc1-06--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-06/GPU-NIC-4----800G-backend-leaf-u35/E1/6/2,gpu-server-rc1-06/GPU-NIC-4,800G-backend-leaf-u35/E1/6/2,gpu-server-rc1-06--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-06/GPU-NIC-5----800G-backend-leaf-u32/E1/6/1,gpu-server-rc1-06/GPU-NIC-5,800G-backend-leaf-u32/E1/6/1,gpu-server-rc1-06--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-06/GPU-NIC-6----800G-backend-leaf-u32/E1/6/2,gpu-server-rc1-06/GPU-NIC-6,800G-backend-leaf-u32/E1/6/2,gpu-server-rc1-06--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-06/GPU-NIC-7----800G-backend-leaf-u29/E1/6/1,gpu-server-rc1-06/GPU-NIC-7,800G-backend-leaf-u29/E1/6/1,gpu-server-rc1-06--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-06/GPU-NIC-8----800G-backend-leaf-u29/E1/6/2,gpu-server-rc1-06/GPU-NIC-8,800G-backend-leaf-u29/E1/6/2,gpu-server-rc1-06--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-07/GPU-NIC-1----800G-backend-leaf-u38/E1/7/1,gpu-server-rc1-07/GPU-NIC-1,800G-backend-leaf-u38/E1/7/1,gpu-server-rc1-07--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-07/GPU-NIC-2----800G-backend-leaf-u38/E1/7/2,gpu-server-rc1-07/GPU-NIC-2,800G-backend-leaf-u38/E1/7/2,gpu-server-rc1-07--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-07/GPU-NIC-3----800G-backend-leaf-u35/E1/7/1,gpu-server-rc1-07/GPU-NIC-3,800G-backend-leaf-u35/E1/7/1,gpu-server-rc1-07--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-07/GPU-NIC-4----800G-backend-leaf-u35/E1/7/2,gpu-server-rc1-07/GPU-NIC-4,800G-backend-leaf-u35/E1/7/2,gpu-server-rc1-07--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-07/GPU-NIC-5----800G-backend-leaf-u32/E1/7/1,gpu-server-rc1-07/GPU-NIC-5,800G-backend-leaf-u32/E1/7/1,gpu-server-rc1-07--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-07/GPU-NIC-6----800G-backend-leaf-u32/E1/7/2,gpu-server-rc1-07/GPU-NIC-6,800G-backend-leaf-u32/E1/7/2,gpu-server-rc1-07--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-07/GPU-NIC-7----800G-backend-leaf-u29/E1/7/1,gpu-server-rc1-07/GPU-NIC-7,800G-backend-leaf-u29/E1/7/1,gpu-server-rc1-07--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-07/GPU-NIC-8----800G-backend-leaf-u29/E1/7/2,gpu-server-rc1-07/GPU-NIC-8,800G-backend-leaf-u29/E1/7/2,gpu-server-rc1-07--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-08/GPU-NIC-1----800G-backend-leaf-u38/E1/8/1,gpu-server-rc1-08/GPU-NIC-1,800G-backend-leaf-u38/E1/8/1,gpu-server-rc1-08--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-08/GPU-NIC-2----800G-backend-leaf-u38/E1/8/2,gpu-server-rc1-08/GPU-NIC-2,800G-backend-leaf-u38/E1/8/2,gpu-server-rc1-08--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-08/GPU-NIC-3----800G-backend-leaf-u35/E1/8/1,gpu-server-rc1-08/GPU-NIC-3,800G-backend-leaf-u35/E1/8/1,gpu-server-rc1-08--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-08/GPU-NIC-4----800G-backend-leaf-u35/E1/8/2,gpu-server-rc1-08/GPU-NIC-4,800G-backend-leaf-u35/E1/8/2,gpu-server-rc1-08--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-08/GPU-NIC-5----800G-backend-leaf-u32/E1/8/1,gpu-server-rc1-08/GPU-NIC-5,800G-backend-leaf-u32/E1/8/1,gpu-server-rc1-08--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-08/GPU-NIC-6----800G-backend-leaf-u32/E1/8/2,gpu-server-rc1-08/GPU-NIC-6,800G-backend-leaf-u32/E1/8/2,gpu-server-rc1-08--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-08/GPU-NIC-7----800G-backend-leaf-u29/E1/8/1,gpu-server-rc1-08/GPU-NIC-7,800G-backend-leaf-u29/E1/8/1,gpu-server-rc1-08--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-08/GPU-NIC-8----800G-backend-leaf-u29/E1/8/2,gpu-server-rc1-08/GPU-NIC-8,800G-backend-leaf-u29/E1/8/2,gpu-server-rc1-08--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-09/GPU-NIC-1----800G-backend-leaf-u38/E1/9/1,gpu-server-rc1-09/GPU-NIC-1,800G-backend-leaf-u38/E1/9/1,gpu-server-rc1-09--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-09/GPU-NIC-2----800G-backend-leaf-u38/E1/9/2,gpu-server-rc1-09/GPU-NIC-2,800G-backend-leaf-u38/E1/9/2,gpu-server-rc1-09--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-09/GPU-NIC-3----800G-backend-leaf-u35/E1/9/1,gpu-server-rc1-09/GPU-NIC-3,800G-backend-leaf-u35/E1/9/1,gpu-server-rc1-09--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-09/GPU-NIC-4----800G-backend-leaf-u35/E1/9/2,gpu-server-rc1-09/GPU-NIC-4,800G-backend-leaf-u35/E1/9/2,gpu-server-rc1-09--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-09/GPU-NIC-5----800G-backend-leaf-u32/E1/9/1,gpu-server-rc1-09/GPU-NIC-5,800G-backend-leaf-u32/E1/9/1,gpu-server-rc1-09--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-09/GPU-NIC-6----800G-backend-leaf-u32/E1/9/2,gpu-server-rc1-09/GPU-NIC-6,800G-backend-leaf-u32/E1/9/2,gpu-server-rc1-09--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-09/GPU-NIC-7----800G-backend-leaf-u29/E1/9/1,gpu-server-rc1-09/GPU-NIC-7,800G-backend-leaf-u29/E1/9/1,gpu-server-rc1-09--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-09/GPU-NIC-8----800G-backend-leaf-u29/E1/9/2,gpu-server-rc1-09/GPU-NIC-8,800G-backend-leaf-u29/E1/9/2,gpu-server-rc1-09--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-10/GPU-NIC-1----800G-backend-leaf-u38/E1/10/1,gpu-server-rc1-10/GPU-NIC-1,800G-backend-leaf-u38/E1/10/1,gpu-server-rc1-10--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-10/GPU-NIC-2----800G-backend-leaf-u38/E1/10/2,gpu-server-rc1-10/GPU-NIC-2,800G-backend-leaf-u38/E1/10/2,gpu-server-rc1-10--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-10/GPU-NIC-3----800G-backend-leaf-u35/E1/10/1,gpu-server-rc1-10/GPU-NIC-3,800G-backend-leaf-u35/E1/10/1,gpu-server-rc1-10--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-10/GPU-NIC-4----800G-backend-leaf-u35/E1/10/2,gpu-server-rc1-10/GPU-NIC-4,800G-backend-leaf-u35/E1/10/2,gpu-server-rc1-10--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-10/GPU-NIC-5----800G-backend-leaf-u32/E1/10/1,gpu-server-rc1-10/GPU-NIC-5,800G-backend-leaf-u32/E1/10/1,gpu-server-rc1-10--GPU-NIC-5--800G-backend-leaf-u32
gpu-server-rc1-10/GPU-NIC-6----800G-backend-leaf-u32/E1/10/2,gpu-server-rc1-10/GPU-NIC-6,800G-backend-leaf-u32/E1/10/2,gpu-server-rc1-10--GPU-NIC-6--800G-backend-leaf-u32
gpu-server-rc1-10/GPU-NIC-7----800G-backend-leaf-u29/E1/10/1,gpu-server-rc1-10/GPU-NIC-7,800G-backend-leaf-u29/E1/10/1,gpu-server-rc1-10--GPU-NIC-7--800G-backend-leaf-u29
gpu-server-rc1-10/GPU-NIC-8----800G-backend-leaf-u29/E1/10/2,gpu-server-rc1-10/GPU-NIC-8,800G-backend-leaf-u29/E1/10/2,gpu-server-rc1-10--GPU-NIC-8--800G-backend-leaf-u29
gpu-server-rc1-11/GPU-NIC-1----800G-backend-leaf-u38/E1/11/1,gpu-server-rc1-11/GPU-NIC-1,800G-backend-leaf-u38/E1/11/1,gpu-server-rc1-11--GPU-NIC-1--800G-backend-leaf-u38
gpu-server-rc1-11/GPU-NIC-2----800G-backend-leaf-u38/E1/11/2,gpu-server-rc1-11/GPU-NIC-2,800G-backend-leaf-u38/E1/11/2,gpu-server-rc1-11--GPU-NIC-2--800G-backend-leaf-u38
gpu-server-rc1-11/GPU-NIC-3----800G-backend-leaf-u35/E1/11/1,gpu-server-rc1-11/GPU-NIC-3,800G-backend-leaf-u35/E1/11/1,gpu-server-rc1-11--GPU-NIC-3--800G-backend-leaf-u35
gpu-server-rc1-11/GPU-NIC-4----800G-backend-leaf-u35/E1/11/2,gpu-server-rc1-11/GPU-NIC-4,800G-backend-leaf-u35/E1/11/2,gpu-server-rc1-11--GPU-NIC-4--800G-backend-leaf-u35
gpu-server-rc1-11/GPU-NIC-5----800G-backend-leaf-u32/E1/11/1,gpu-server-rc1-11/GPU-NIC-5,800G-backend-leaf-u32/E1/11/1,gpu-server-rc1-11--GPU-NIC-5--800G-backend-leaf-u32
